image,pseudo_objects,gt_objects,matched_objects
"images/val/273278,ddfc50000b6c735a.jpg",9,18,9
"images/val/273278,e07140006e7e0852.jpg",8,9,8
"images/val/273278,e2b2d0006bfe5040.jpg",22,23,21
"images/val/273278,e5fc80001beb4d5e.jpg",39,59,34
"images/val/273278,e8986000e1cb00a7.jpg",8,24,8
"images/val/273278,eb7b00003d57193b.jpg",11,10,7
"images/val/273278,ecf680003ae33bf1.jpg",5,6,5
"images/val/273278,edbed0008f245d38.jpg",6,7,6
"images/val/273278,f03880007e5b2551.jpg",9,9,8
"images/val/273278,f2e2c0001ef3e4f8.jpg",6,7,6
"images/val/273278,f51f50002c9d2999.jpg",26,44,25
"images/val/273278,f67e9000458fc17e.jpg",10,26,9
"images/val/273278,f765b000bcf8fa79.jpg",4,6,4
"images/val/273278,f9742000c2854d2b.jpg",36,42,35
"images/val/273278,fbdd3000bd6efb26.jpg",12,22,11
"images/val/273278,ff8e000463e0b74.jpg",16,28,16
"images/val/282555,102b8700006bc1f81.jpg",16,51,16
"images/val/282555,106cf5000a7ab0f72.jpg",8,36,8
"images/val/282555,1091890007978e022.jpg",33,243,32
"images/val/282555,10d1fd00028eeabf4.jpg",12,40,12
"images/val/282555,10e432000f22822c9.jpg",14,36,14
"images/val/282555,1118270008b025ba4.jpg",11,39,11
"images/val/282555,115386000dc137e9c.jpg",18,56,18
"images/val/282555,1169d60007e589628.jpg",7,28,7
"images/val/282555,119a5500015cd92aa.jpg",3,16,3
"images/val/282555,11d5e4000d2b0eaf9.jpg",2,3,2
"images/val/282555,12015a0002f940c30.jpg",13,48,13
"images/val/282555,12275c0003b652d1d.jpg",6,13,6
"images/val/282555,1256af0004c320a30.jpg",17,49,15
"images/val/282555,14190000ec991dda.jpg",11,149,11
"images/val/282555,16176000f1a68327.jpg",7,10,7
"images/val/282555,1721000bc0f1797.jpg",13,31,13
"images/val/282555,1972a000479a36d0.jpg",120,222,119
"images/val/282555,1b5c9000aab4c1e7.jpg",11,12,11
"images/val/282555,1c87c0009039396b.jpg",9,11,9
"images/val/282555,1da8900052bf496f.jpg",9,12,9
"images/val/282555,1f4e700089d1d2c1.jpg",7,8,6
"images/val/282555,21fad000c56032d5.jpg",28,32,28
"images/val/282555,2500f000dcc6d906.jpg",3,10,2
"images/val/282555,26a2e000832eb71d.jpg",38,71,35
"images/val/282555,295f70009bebdb51.jpg",6,103,6
"images/val/282555,2c89c000398f54b5.jpg",26,28,26
"images/val/282555,2fc830005e16f252.jpg",6,8,6
"images/val/282555,32e80000b778b9c9.jpg",4,7,1
"images/val/282555,3802e00048d5f4fb.jpg",5,6,5
"images/val/282555,3d265000e4864415.jpg",7,8,7
"images/val/282555,4160d000a3635ca8.jpg",6,62,6
